candidate,baseline_candidate,line_id,line_role,overheat_direction,overheat_parameter_label,overheat_enabled,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,score_max,score_max_label,momentum_decay_enabled,decay_ratio_threshold,recovery_ratio_threshold,confirm_days,derisk_scale,decay_label,nav_defense_enabled,nav_enter_threshold,nav_exit_threshold,nav_defense_scale,nav_label,ann_return_full,ann_vol_full,max_dd_full,sharpe_repo_full,trades_full,cost_total_full,turnover_total_full,avg_exposure_effective_full,avg_final_exposure_full,avg_existing_overlay_scale_effective_full,avg_overheat_scale_effective_full,avg_combined_overlay_scale_effective_full,overheat_day_ratio_full,trigger_count_full,recovery_count_full,effect_day_ratio_full,effect_day_count_full,return_abs_diff_sum_full,reason_full,ann_return_last_10y,ann_vol_last_10y,max_dd_last_10y,sharpe_repo_last_10y,trades_last_10y,cost_total_last_10y,turnover_total_last_10y,avg_exposure_effective_last_10y,avg_final_exposure_last_10y,avg_existing_overlay_scale_effective_last_10y,avg_overheat_scale_effective_last_10y,avg_combined_overlay_scale_effective_last_10y,overheat_day_ratio_last_10y,trigger_count_last_10y,recovery_count_last_10y,effect_day_ratio_last_10y,effect_day_count_last_10y,return_abs_diff_sum_last_10y,reason_last_10y,ann_return_last_5y,ann_vol_last_5y,max_dd_last_5y,sharpe_repo_last_5y,trades_last_5y,cost_total_last_5y,turnover_total_last_5y,avg_exposure_effective_last_5y,avg_final_exposure_last_5y,avg_existing_overlay_scale_effective_last_5y,avg_overheat_scale_effective_last_5y,avg_combined_overlay_scale_effective_last_5y,overheat_day_ratio_last_5y,trigger_count_last_5y,recovery_count_last_5y,effect_day_ratio_last_5y,effect_day_count_last_5y,return_abs_diff_sum_last_5y,reason_last_5y,ann_return_last_3y,ann_vol_last_3y,max_dd_last_3y,sharpe_repo_last_3y,trades_last_3y,cost_total_last_3y,turnover_total_last_3y,avg_exposure_effective_last_3y,avg_final_exposure_last_3y,avg_existing_overlay_scale_effective_last_3y,avg_overheat_scale_effective_last_3y,avg_combined_overlay_scale_effective_last_3y,overheat_day_ratio_last_3y,trigger_count_last_3y,recovery_count_last_3y,effect_day_ratio_last_3y,effect_day_count_last_3y,return_abs_diff_sum_last_3y,reason_last_3y,ann_return_last_1y,ann_vol_last_1y,max_dd_last_1y,sharpe_repo_last_1y,trades_last_1y,cost_total_last_1y,turnover_total_last_1y,avg_exposure_effective_last_1y,avg_final_exposure_last_1y,avg_existing_overlay_scale_effective_last_1y,avg_overheat_scale_effective_last_1y,avg_combined_overlay_scale_effective_last_1y,overheat_day_ratio_last_1y,trigger_count_last_1y,recovery_count_last_1y,effect_day_ratio_last_1y,effect_day_count_last_1y,return_abs_diff_sum_last_1y,reason_last_1y,ann_delta_full_pp,mdd_improve_full_pp,ann_delta_last_10y_pp,mdd_improve_last_10y_pp,ann_delta_last_5y_pp,mdd_improve_last_5y_pp,ann_delta_last_3y_pp,mdd_improve_last_3y_pp,ann_delta_last_1y_pp,mdd_improve_last_1y_pp,dd_improve_window_count,return_tolerance_ok,full_mdd_improved,material_effect,layer8_pass,pass_reason
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_scoremax_5_overheat_off,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_scoremax_5_overheat_off,main_nav_r2_removed,main_nav_r2_removed,baseline,overheat_off,False,28,,none,1.15,1p15,0.25,0p25,5.0,5,False,,,,1.0,decay_off,True,0.2,0.05,0.5,nav_enter_0p2_exit_0p05_scale_0p50,0.09937115904826266,0.183439790607941,-0.2505633022416853,0.6083140972316028,883.0,0.32668034162293935,326.6803416229393,0.7104235197368421,0.7106291118421053,1.0,1.0,0.9058388157894737,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.060022752651184286,0.17532730984861586,-0.22879900007844012,0.42025333803660087,529.0,0.17478156475309173,174.78156475309171,0.6974206349206349,0.6976190476190476,1.0,1.0,0.8781746031746032,0.0,0.0,0.0,0.0,0.0,0.0,,0.06591999498906165,0.15757023747009496,-0.228799000078439,0.4840655333034567,391.0,0.09711083666815838,97.11083666815838,0.6448412698412699,0.6451719576719577,1.0,1.0,0.796957671957672,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0532788755088609,0.09435091915493814,-0.11148203274598512,-0.5327849963163129,234.0,0.022089812195437333,22.089812195437336,0.40922619047619047,0.40922619047619047,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,False,baseline/no new overheat
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_fixed_same_side_fixed_enter_0p15_exit_0p13_scale_0p00_same_side_or_exit,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_scoremax_5_overheat_off,main_nav_r2_removed,main_nav_r2_removed,fixed_same_side,fixed_enter_0p15_exit_0p13_scale_0p00_same_side_or_exit,True,28,,none,1.15,1p15,0.25,0p25,5.0,5,False,,,,1.0,decay_off,True,0.2,0.05,0.5,nav_enter_0p2_exit_0p05_scale_0p50,0.11220202430323134,0.17443719670387134,-0.2505633022416849,0.6969618231356727,889.0,0.335091162401443,335.091162401443,0.6781455592105263,0.6783511513157895,0.9058388157894737,0.9666940789473685,0.8772615131578947,0.03330592105263158,14.0,10.0,0.046875,114.0,1.3196459408228196,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.07612546941345832,0.16311994813840766,-0.2189515797563497,0.5314324041271605,541.0,0.1807419509416473,180.74195094164727,0.658531746031746,0.6587301587301587,0.8781746031746032,0.9626984126984127,0.844047619047619,0.0373015873015873,9.0,7.0,0.05396825396825397,68.0,0.8432578391056788,,0.0655397620340945,0.14721840075388237,-0.21895157975634894,0.504893181876086,393.0,0.09806964150895789,98.06964150895789,0.6170634920634921,0.6173941798941799,0.796957671957672,0.9708994708994709,0.7731481481481481,0.0291005291005291,5.0,3.0,0.04365079365079365,33.0,0.3739716098611139,,-0.0532788755088609,0.09435091915493814,-0.11148203274598512,-0.5327849963163129,234.0,0.022089812195437333,22.089812195437336,0.40922619047619047,0.40922619047619047,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,1.2830865254968682,4.440892098500626e-14,,,1.6102716762274039,0.9847420322090406,-0.03802329549671413,0.9847420322090072,0.0,0.0,2,True,False,True,False,full_mdd=False;dd_windows=2;return_tol=True;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_fixed_same_side_fixed_enter_0p18_exit_0p16_scale_0p00_same_side_or_exit,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_scoremax_5_overheat_off,main_nav_r2_removed,main_nav_r2_removed,fixed_same_side,fixed_enter_0p18_exit_0p16_scale_0p00_same_side_or_exit,True,28,,none,1.15,1p15,0.25,0p25,5.0,5,False,,,,1.0,decay_off,True,0.2,0.05,0.5,nav_enter_0p2_exit_0p05_scale_0p50,0.10347955823651289,0.17954937187786513,-0.2505633022416853,0.6383438368044021,880.0,0.3318725183263942,331.87251832639413,0.697265625,0.6974712171052632,0.9058388157894737,0.9851973684210527,0.89453125,0.014802631578947368,8.0,7.0,0.020970394736842105,51.0,0.6073299608525546,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.0607471051304862,0.1698365114254868,-0.21280312708042437,0.43228472303285836,531.0,0.17750795508483502,177.507955084835,0.6813492063492064,0.6815476190476191,0.8781746031746032,0.9833333333333333,0.8638888888888889,0.016666666666666666,4.0,3.0,0.023015873015873017,29.0,0.39114652378946535,,0.06915832743871397,0.15516972504491963,-0.21280312708042504,0.5086754693120467,387.0,0.09732282838319048,97.32282838319048,0.6382275132275133,0.638558201058201,0.796957671957672,0.9894179894179894,0.7903439153439153,0.010582010582010581,2.0,1.0,0.015873015873015872,12.0,0.11175356372570466,,-0.0532788755088609,0.09435091915493814,-0.11148203274598512,-0.5327849963163129,234.0,0.022089812195437333,22.089812195437336,0.40922619047619047,0.40922619047619047,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.41083991882502335,0.0,,,0.07243524793019152,1.5995872998015748,0.3238332449652326,1.5995872998013971,0.0,0.0,2,True,False,True,False,full_mdd=False;dd_windows=2;return_tol=True;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_fixed_same_side_fixed_enter_0p2_exit_0p18_scale_0p00_same_side_or_exit,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_scoremax_5_overheat_off,main_nav_r2_removed,main_nav_r2_removed,fixed_same_side,fixed_enter_0p2_exit_0p18_scale_0p00_same_side_or_exit,True,28,,none,1.15,1p15,0.25,0p25,5.0,5,False,,,,1.0,decay_off,True,0.2,0.05,0.5,nav_enter_0p2_exit_0p05_scale_0p50,0.1093642753612154,0.18139523846439606,-0.2505633022416853,0.6630064163073771,888.0,0.3314227068092842,331.4227068092842,0.7046669407894737,0.7048725328947368,0.9058388157894737,0.9946546052631579,0.9019325657894737,0.005345394736842105,6.0,5.0,0.011101973684210526,27.0,0.3069089456800653,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.06796335224117023,0.1724971810816888,-0.21280312708042526,0.4675600807702548,531.0,0.17750468312235973,177.50468312235972,0.6900793650793651,0.6902777777777778,0.8781746031746032,0.9920634920634921,0.8726190476190476,0.007936507936507936,4.0,3.0,0.014285714285714285,18.0,0.20894249091200756,,0.06915832743871397,0.15516972504491963,-0.21280312708042504,0.5086754693120467,387.0,0.09732282838319048,97.32282838319048,0.6382275132275133,0.638558201058201,0.796957671957672,0.9894179894179894,0.7903439153439153,0.010582010582010581,2.0,1.0,0.015873015873015872,12.0,0.11175356372570466,,-0.0532788755088609,0.09435091915493814,-0.11148203274598512,-0.5327849963163129,234.0,0.022089812195437333,22.089812195437336,0.40922619047619047,0.40922619047619047,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.9993116312952743,0.0,,,0.7940599589985942,1.599587299801486,0.3238332449652326,1.5995872998013971,0.0,0.0,2,True,False,True,False,full_mdd=False;dd_windows=2;return_tol=True;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_fixed_same_side_fixed_enter_0p22_exit_0p2_scale_0p00_same_side_or_exit,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_scoremax_5_overheat_off,main_nav_r2_removed,main_nav_r2_removed,fixed_same_side,fixed_enter_0p22_exit_0p2_scale_0p00_same_side_or_exit,True,28,,none,1.15,1p15,0.25,0p25,5.0,5,False,,,,1.0,decay_off,True,0.2,0.05,0.5,nav_enter_0p2_exit_0p05_scale_0p50,0.10867025503516436,0.1826793974112969,-0.2505633022416853,0.6561991079005965,886.0,0.32966071518297413,329.6607151829742,0.7086759868421053,0.7088815789473685,0.9058388157894737,0.998766447368421,0.905016447368421,0.0012335526315789473,2.0,2.0,0.003700657894736842,9.0,0.10022533817341062,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.06903136806904153,0.1746175731050079,-0.20784694030260198,0.469714938403921,528.0,0.1757570754035135,175.7570754035135,0.696031746031746,0.6962301587301587,0.8781746031746032,0.9984126984126984,0.8773809523809524,0.0015873015873015873,1.0,1.0,0.003968253968253968,5.0,0.04922403798366415,,0.08106061324072011,0.15624928579614228,-0.20784694030260098,0.5771033099122896,390.0,0.09808634731858018,98.08634731858017,0.642526455026455,0.6428571428571429,0.796957671957672,0.9973544973544973,0.7956349206349206,0.0026455026455026454,1.0,1.0,0.006613756613756613,5.0,0.04922403798366415,,-0.0532788755088609,0.09435091915493814,-0.11148203274598512,-0.5327849963163129,234.0,0.022089812195437333,22.089812195437336,0.40922619047619047,0.40922619047619047,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.9299095986901706,0.0,,,0.9008615417857246,2.095205977583814,1.5140618251658466,2.095205977583803,0.0,0.0,2,True,False,True,False,full_mdd=False;dd_windows=2;return_tol=True;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_fixed_same_side_fixed_enter_0p25_exit_0p22_scale_0p00_same_side_or_exit,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_scoremax_5_overheat_off,main_nav_r2_removed,main_nav_r2_removed,fixed_same_side,fixed_enter_0p25_exit_0p22_scale_0p00_same_side_or_exit,True,28,,none,1.15,1p15,0.25,0p25,5.0,5,False,,,,1.0,decay_off,True,0.2,0.05,0.5,nav_enter_0p2_exit_0p05_scale_0p50,0.09937115904826266,0.183439790607941,-0.2505633022416853,0.6083140972316028,883.0,0.32668034162293935,326.6803416229393,0.7104235197368421,0.7106291118421053,0.9058388157894737,1.0,0.9058388157894737,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.060022752651184286,0.17532730984861586,-0.22879900007844012,0.42025333803660087,529.0,0.17478156475309173,174.78156475309171,0.6974206349206349,0.6976190476190476,0.8781746031746032,1.0,0.8781746031746032,0.0,0.0,0.0,0.0,0.0,0.0,,0.06591999498906165,0.15757023747009496,-0.228799000078439,0.4840655333034567,391.0,0.09711083666815838,97.11083666815838,0.6448412698412699,0.6451719576719577,0.796957671957672,1.0,0.796957671957672,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0532788755088609,0.09435091915493814,-0.11148203274598512,-0.5327849963163129,234.0,0.022089812195437333,22.089812195437336,0.40922619047619047,0.40922619047619047,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,False,False,full_mdd=False;dd_windows=0;return_tol=True;material=False
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_fixed_same_side_fixed_enter_0p2_exit_0p18_scale_0p50_same_side_or_exit,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_scoremax_5_overheat_off,main_nav_r2_removed,main_nav_r2_removed,fixed_same_side,fixed_enter_0p2_exit_0p18_scale_0p50_same_side_or_exit,True,28,,none,1.15,1p15,0.25,0p25,5.0,5,False,,,,1.0,decay_off,True,0.2,0.05,0.5,nav_enter_0p2_exit_0p05_scale_0p50,0.10453961202832551,0.18236560641008717,-0.2505633022416853,0.6365354351012206,891.0,0.3293568595276826,329.3568595276826,0.7086245888157895,0.7088301809210527,0.9058388157894737,0.997327302631579,0.9038856907894737,0.005345394736842105,6.0,5.0,0.0078125,19.0,0.11010439688541218,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.06639838842978585,0.1737693479897682,-0.22038176964814482,0.4569564576428611,535.0,0.17691946564919656,176.91946564919652,0.6949404761904762,0.6951388888888889,0.8781746031746032,0.996031746031746,0.8753968253968254,0.007936507936507936,4.0,3.0,0.011111111111111112,14.0,0.07929915850687008,,0.06777829809364078,0.15581803685030077,-0.22038176964814726,0.49891563043803,393.0,0.09723544170064821,97.2354417006482,0.6420304232804233,0.6423611111111112,0.796957671957672,0.9947089947089947,0.7936507936507936,0.010582010582010581,2.0,1.0,0.013227513227513227,10.0,0.05303637297154262,,-0.0532788755088609,0.09435091915493814,-0.11148203274598512,-0.5327849963163129,234.0,0.022089812195437333,22.089812195437336,0.40922619047619047,0.40922619047619047,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.5168452980062854,0.0,,,0.6375635778601563,0.8417230430295297,0.18583031045791287,0.8417230430291744,0.0,0.0,2,True,False,True,False,full_mdd=False;dd_windows=2;return_tol=True;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_fixed_same_side_fixed_enter_0p2_exit_0p18_scale_0p75_same_side_or_exit,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_scoremax_5_overheat_off,main_nav_r2_removed,main_nav_r2_removed,fixed_same_side,fixed_enter_0p2_exit_0p18_scale_0p75_same_side_or_exit,True,28,,none,1.15,1p15,0.25,0p25,5.0,5,False,,,,1.0,decay_off,True,0.2,0.05,0.5,nav_enter_0p2_exit_0p05_scale_0p50,0.10197124912603206,0.1828188312402967,-0.2505633022416853,0.6226755657179596,891.0,0.32801553359365815,328.0155335936581,0.7095240542763158,0.709729646381579,0.9058388157894737,0.9986636513157895,0.9048622532894737,0.005345394736842105,6.0,5.0,0.0078125,19.0,0.055067435449914104,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.0632287043823434,0.1744275657728869,-0.2245669775554422,0.4388244242155993,535.0,0.17585829456723673,175.85829456723673,0.6961805555555556,0.6963789682539683,0.8781746031746032,0.998015873015873,0.8767857142857143,0.007936507936507936,4.0,3.0,0.011111111111111112,14.0,0.039649115775255206,,0.0668721897017488,0.15655441518576127,-0.2245669775554423,0.49188362760806476,393.0,0.09717752741715094,97.17752741715093,0.6434358465608465,0.6437665343915344,0.796957671957672,0.9973544973544973,0.7953042328042328,0.010582010582010581,2.0,1.0,0.013227513227513227,10.0,0.026517723007591698,,-0.0532788755088609,0.09435091915493814,-0.11148203274598512,-0.5327849963163129,234.0,0.022089812195437333,22.089812195437336,0.40922619047619047,0.40922619047619047,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.26000900777694014,0.0,,,0.3205951731159118,0.42320225229979247,0.09521947126871488,0.42320225229967035,0.0,0.0,2,True,False,True,False,full_mdd=False;dd_windows=2;return_tol=True;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_fixed_same_side_fixed_enter_0p2_exit_0p18_scale_0p00_exit_only,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_scoremax_5_overheat_off,main_nav_r2_removed,main_nav_r2_removed,fixed_same_side,fixed_enter_0p2_exit_0p18_scale_0p00_exit_only,True,28,,none,1.15,1p15,0.25,0p25,5.0,5,False,,,,1.0,decay_off,True,0.2,0.05,0.5,nav_enter_0p2_exit_0p05_scale_0p50,0.1093642753612154,0.18139523846439606,-0.2505633022416853,0.6630064163073771,888.0,0.3314227068092842,331.4227068092842,0.7046669407894737,0.7048725328947368,0.9058388157894737,0.9946546052631579,0.9019325657894737,0.005345394736842105,6.0,5.0,0.011101973684210526,27.0,0.3069089456800653,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.06796335224117023,0.1724971810816888,-0.21280312708042526,0.4675600807702548,531.0,0.17750468312235973,177.50468312235972,0.6900793650793651,0.6902777777777778,0.8781746031746032,0.9920634920634921,0.8726190476190476,0.007936507936507936,4.0,3.0,0.014285714285714285,18.0,0.20894249091200756,,0.06915832743871397,0.15516972504491963,-0.21280312708042504,0.5086754693120467,387.0,0.09732282838319048,97.32282838319048,0.6382275132275133,0.638558201058201,0.796957671957672,0.9894179894179894,0.7903439153439153,0.010582010582010581,2.0,1.0,0.015873015873015872,12.0,0.11175356372570466,,-0.0532788755088609,0.09435091915493814,-0.11148203274598512,-0.5327849963163129,234.0,0.022089812195437333,22.089812195437336,0.40922619047619047,0.40922619047619047,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.9993116312952743,0.0,,,0.7940599589985942,1.599587299801486,0.3238332449652326,1.5995872998013971,0.0,0.0,2,True,False,True,False,full_mdd=False;dd_windows=2;return_tol=True;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_adaptive_quantile_adaptive_w252_eq0p85_xq0p6_floor_0p1_0p05_scale_0p00_same_side_or_exit,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_scoremax_5_overheat_off,main_nav_r2_removed,main_nav_r2_removed,adaptive_quantile,adaptive_w252_eq0p85_xq0p6_floor_0p1_0p05_scale_0p00_same_side_or_exit,True,28,,none,1.15,1p15,0.25,0p25,5.0,5,False,,,,1.0,decay_off,True,0.2,0.05,0.5,nav_enter_0p2_exit_0p05_scale_0p50,0.05771249645691978,0.1635081875595856,-0.24591854270411218,0.4249730776701081,828.0,0.3176694206349265,317.6694206349265,0.5967310855263158,0.596936677631579,0.9058388157894737,0.8663651315789473,0.7853618421052632,0.13363486842105263,35.0,15.0,0.15542763157894737,378.0,3.505115399838136,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.01890953941836848,0.1567472623770563,-0.24591854270411306,0.19801543803502536,508.0,0.17045252145199472,170.45252145199473,0.608531746031746,0.6087301587301587,0.8781746031746032,0.8952380952380953,0.780952380952381,0.10476190476190476,16.0,6.0,0.12380952380952381,156.0,1.5194587051605961,,0.01535064168381206,0.14378884389125823,-0.24591854270411317,0.1779499110759794,370.0,0.09379728623203962,93.7972862320396,0.5942460317460317,0.5945767195767195,0.796957671957672,0.9338624338624338,0.7433862433862434,0.06613756613756613,4.0,1.0,0.07407407407407407,56.0,0.5860106597331244,,-0.07429471009283983,0.09001762983603447,-0.11148203274598467,-0.812176387893111,216.0,0.022288423879633736,22.28842387963374,0.3685515873015873,0.3685515873015873,0.5,0.9246031746031746,0.4623015873015873,0.07539682539682539,1.0,1.0,0.0873015873015873,22.0,0.10520037849861108,,-4.165866259134288,0.4644759537573151,,,-4.11132132328158,-1.7119542625672945,-5.056935330524959,-1.7119542625674167,-2.101583458397893,4.440892098500626e-14,1,False,True,True,False,full_mdd=True;dd_windows=1;return_tol=False;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_adaptive_quantile_adaptive_w252_eq0p85_xq0p6_floor_0p1_0p05_scale_0p50_same_side_or_exit,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_scoremax_5_overheat_off,main_nav_r2_removed,main_nav_r2_removed,adaptive_quantile,adaptive_w252_eq0p85_xq0p6_floor_0p1_0p05_scale_0p50_same_side_or_exit,True,28,,none,1.15,1p15,0.25,0p25,5.0,5,False,,,,1.0,decay_off,True,0.2,0.05,0.5,nav_enter_0p2_exit_0p05_scale_0p50,0.08123350711696764,0.17015899112883673,-0.23435814465879135,0.5441638386830725,1097.0,0.325441163076041,325.44116307604094,0.6565840871710527,0.6567896792763158,0.9058388157894737,0.9331825657894737,0.8456003289473685,0.13363486842105263,35.0,15.0,0.14720394736842105,358.0,1.654282476690383,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.046402786323960665,0.16311378344230887,-0.23435814465878924,0.3597388093137728,617.0,0.17401913793957274,174.01913793957272,0.6556547619047619,0.6558531746031746,0.8781746031746032,0.9476190476190476,0.8295634920634921,0.10476190476190476,16.0,6.0,0.11666666666666667,147.0,0.7137805768718247,,0.04218306069131983,0.1474531133671924,-0.23435814465879057,0.35406374060599755,416.0,0.0959367206885469,95.93672068854691,0.6200396825396826,0.6203703703703703,0.796957671957672,0.966931216931217,0.7701719576719577,0.06613756613756613,4.0,1.0,0.07142857142857142,54.0,0.28872583217108627,,-0.0601032437460034,0.09159958037833593,-0.11148203274598412,-0.630536691789393,234.0,0.022577792247771233,22.577792247771235,0.39037698412698413,0.39037698412698413,0.5,0.9623015873015873,0.48115079365079366,0.07539682539682539,1.0,1.0,0.07936507936507936,20.0,0.048283902986472005,,-1.8137651931295018,1.620515758289398,,,-1.361996632722362,-0.5559144580349118,-2.373693429774182,-0.555914458035156,-0.6824368237142497,9.992007221626409e-14,1,False,True,True,False,full_mdd=True;dd_windows=1;return_tol=False;material=True
lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_adaptive_quantile_adaptive_w252_eq0p85_xq0p7_floor_0p1_0p05_scale_0p00_same_side_or_exit,lb_28_r2_none_buf_1p15_entry_0p25_decay_off_nav_enter_0p2_exit_0p05_scale_0p50_scoremax_5_overheat_off,main_nav_r2_removed,main_nav_r2_removed,adaptive_quantile,adaptive_w252_eq0p85_xq0p7_floor_0p1_0p05_scale_0p00_same_side_or_exit,True,28,,none,1.15,1p15,0.25,0p25,5.0,5,False,,,,1.0,decay_off,True,0.2,0.05,0.5,nav_enter_0p2_exit_0p05_scale_0p50,0.06314326295008121,0.16469569869810483,-0.2459185427041123,0.45417437094492213,835.0,0.3206696809850092,320.66968098500917,0.6017680921052632,0.6019736842105263,0.9058388157894737,0.8729440789473685,0.7919407894736842,0.12705592105263158,36.0,18.0,0.15090460526315788,367.0,3.3453896777921495,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days,0.025404899384058544,0.15848125373402833,-0.24591854270411306,0.23762835846661787,513.0,0.1714501653359915,171.4501653359915,0.6125,0.6126984126984127,0.8781746031746032,0.9015873015873016,0.7873015873015873,0.09841269841269841,17.0,8.0,0.12063492063492064,152.0,1.429547584643993,,0.016799856537127678,0.14403691949546374,-0.24591854270411206,0.18779536393349597,376.0,0.09480117009947892,94.80117009947891,0.5958994708994709,0.5962301587301587,0.796957671957672,0.9404761904761905,0.75,0.05952380952380952,5.0,3.0,0.07407407407407407,56.0,0.5582880170922274,,-0.07429471009283983,0.09001762983603447,-0.11148203274598467,-0.812176387893111,216.0,0.022288423879633736,22.28842387963374,0.3685515873015873,0.3685515873015873,0.5,0.9246031746031746,0.4623015873015873,0.07539682539682539,1.0,1.0,0.0873015873015873,22.0,0.10520037849861108,,-3.6227896098181445,0.464475953757304,,,-3.461785326712574,-1.7119542625672945,-4.912013845193397,-1.7119542625673057,-2.101583458397893,4.440892098500626e-14,1,False,True,True,False,full_mdd=True;dd_windows=1;return_tol=False;material=True
