date,candidate,step_order,scenario,entry_case,position_before,fraction_before,position,holding_fraction,pending_entry_target,pending_entry_since,pending_entry_days,trade_target,trade_fraction,staged_initial,fill_on_down_day,best_candidate,best_candidate_score,current_score,buffer_blocked,asset_return,gross_return,asset_component,turnover,cost,return,nav,trade_count,stop_count,stop_triggered,staged_initial_count,staged_fill_count,score_159915.SZ,score_159941.SZ,score_513030.SH,score_513520.SH,score_159985.SZ,score_518880.SH,r2_159915.SZ,r2_159941.SZ,r2_513030.SH,r2_513520.SH,r2_159985.SZ,r2_518880.SH,buffer_blocked_count,target_vol_scale_effective,target_vol_scale_next,weight,overheat_scale_effective,overheat_scale_next,overheat_on_effective,overheat_on,overheat_triggered,overheat_recovered,overheat_feature_missing,exposure_effective,final_exposure_after_overheat,r2_threshold,switch_buffer,entry_mode,initial_fraction,target_vol_enabled,overheat_enabled,source_policy,target_vol_input_return,target_vol_input_nav,base_gross_return,base_return,base_nav,base_turnover,base_cost,realized_vol,base_position_before,base_position_next,actual_position_before,actual_position_next,overheat_scale,final_exposure,drifted_exposure_before_trade,effective_trade_count,target_vol,vol_window,max_lev,overheat_enter,overheat_exit,overheat_derisk_scale,overheat_recovery_mode,nav_before_overheat,return_before_overheat,overheat_bias,overheat_bias_mom,overheat_same_side,overheat_tc,base_position,base_fraction_before,base_holding_fraction,base_trade_target,base_trade_fraction,base_pending_entry_target,base_pending_entry_since,base_pending_entry_days,base_staged_initial,base_fill_on_down_day,version,virtual_base_realized_vol,rebalance_delta,buy_delta,sell_delta,actual_entry_state,actual_pending_target,actual_pending_since,actual_pending_days,actual_staged_initial,actual_fill_on_down_day,actual_staged_initial_count,actual_staged_fill_count,staged_entry_event_count
2019-12-05,baseline_strategy_return_vol,6,06_full_v11_add_overheat,06_full_v11_add_overheat,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0.0,0.0,0.2,1.05,all_new_asset_50_wait_down,0.5,True,True,sina_raw_split_continuity_159941_pre_20220705_x0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,CASH,CASH,CASH,CASH,1.0,0.0,0.0,0.0,0.25,80.0,1.5,0.2,0.18,0.0,same_side_or_exit,1.0,0.0,,,False,0.0,CASH,0.0,0.0,,,,,0.0,False,False,,,,,,,,,,,,,,
2019-12-06,baseline_strategy_return_vol,6,06_full_v11_add_overheat,06_full_v11_add_overheat,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0.0,0.0,0.2,1.05,all_new_asset_50_wait_down,0.5,True,True,sina_raw_split_continuity_159941_pre_20220705_x0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,CASH,CASH,CASH,CASH,1.0,0.0,0.0,0.0,0.25,80.0,1.5,0.2,0.18,0.0,same_side_or_exit,1.0,0.0,,,False,0.0,CASH,0.0,0.0,,,,,0.0,False,False,,,,,,,,,,,,,,
2019-12-09,baseline_strategy_return_vol,6,06_full_v11_add_overheat,06_full_v11_add_overheat,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0.0,0.0,0.2,1.05,all_new_asset_50_wait_down,0.5,True,True,sina_raw_split_continuity_159941_pre_20220705_x0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,CASH,CASH,CASH,CASH,1.0,0.0,0.0,0.0,0.25,80.0,1.5,0.2,0.18,0.0,same_side_or_exit,1.0,0.0,,,False,0.0,CASH,0.0,0.0,,,,,0.0,False,False,,,,,,,,,,,,,,
2019-12-10,baseline_strategy_return_vol,6,06_full_v11_add_overheat,06_full_v11_add_overheat,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0.0,0.0,0.2,1.05,all_new_asset_50_wait_down,0.5,True,True,sina_raw_split_continuity_159941_pre_20220705_x0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,CASH,CASH,CASH,CASH,1.0,0.0,0.0,0.0,0.25,80.0,1.5,0.2,0.18,0.0,same_side_or_exit,1.0,0.0,,,False,0.0,CASH,0.0,0.0,,,,,0.0,False,False,,,,,,,,,,,,,,
2019-12-11,baseline_strategy_return_vol,6,06_full_v11_add_overheat,06_full_v11_add_overheat,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0.0,0.0,0.2,1.05,all_new_asset_50_wait_down,0.5,True,True,sina_raw_split_continuity_159941_pre_20220705_x0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,CASH,CASH,CASH,CASH,1.0,0.0,0.0,0.0,0.25,80.0,1.5,0.2,0.18,0.0,same_side_or_exit,1.0,0.0,,,False,0.0,CASH,0.0,0.0,,,,,0.0,False,False,,,,,,,,,,,,,,
2019-12-12,baseline_strategy_return_vol,6,06_full_v11_add_overheat,06_full_v11_add_overheat,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0.0,0.0,0.2,1.05,all_new_asset_50_wait_down,0.5,True,True,sina_raw_split_continuity_159941_pre_20220705_x0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,CASH,CASH,CASH,CASH,1.0,0.0,0.0,0.0,0.25,80.0,1.5,0.2,0.18,0.0,same_side_or_exit,1.0,0.0,,,False,0.0,CASH,0.0,0.0,,,,,0.0,False,False,,,,,,,,,,,,,,
2019-12-13,baseline_strategy_return_vol,6,06_full_v11_add_overheat,06_full_v11_add_overheat,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0.0,0.0,0.2,1.05,all_new_asset_50_wait_down,0.5,True,True,sina_raw_split_continuity_159941_pre_20220705_x0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,CASH,CASH,CASH,CASH,1.0,0.0,0.0,0.0,0.25,80.0,1.5,0.2,0.18,0.0,same_side_or_exit,1.0,0.0,,,False,0.0,CASH,0.0,0.0,,,,,0.0,False,False,,,,,,,,,,,,,,
2019-12-16,baseline_strategy_return_vol,6,06_full_v11_add_overheat,06_full_v11_add_overheat,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0.0,0.0,0.2,1.05,all_new_asset_50_wait_down,0.5,True,True,sina_raw_split_continuity_159941_pre_20220705_x0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,CASH,CASH,CASH,CASH,1.0,0.0,0.0,0.0,0.25,80.0,1.5,0.2,0.18,0.0,same_side_or_exit,1.0,0.0,,,False,0.0,CASH,0.0,0.0,,,,,0.0,False,False,,,,,,,,,,,,,,
2019-12-17,baseline_strategy_return_vol,6,06_full_v11_add_overheat,06_full_v11_add_overheat,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0.0,0.0,0.2,1.05,all_new_asset_50_wait_down,0.5,True,True,sina_raw_split_continuity_159941_pre_20220705_x0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,CASH,CASH,CASH,CASH,1.0,0.0,0.0,0.0,0.25,80.0,1.5,0.2,0.18,0.0,same_side_or_exit,1.0,0.0,,,False,0.0,CASH,0.0,0.0,,,,,0.0,False,False,,,,,,,,,,,,,,
2019-12-18,baseline_strategy_return_vol,6,06_full_v11_add_overheat,06_full_v11_add_overheat,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,0.0,0.0,0.2,1.05,all_new_asset_50_wait_down,0.5,True,True,sina_raw_split_continuity_159941_pre_20220705_x0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,CASH,CASH,CASH,CASH,1.0,0.0,0.0,0.0,0.25,80.0,1.5,0.2,0.18,0.0,same_side_or_exit,1.0,0.0,,,False,0.0,CASH,0.0,0.0,,,,,0.0,False,False,,,,,,,,,,,,,,
