pool_label,window,code,days,share
DBC_QQQ_GLD_EWJ,15Y,QQQ,1162,0.3074074074074074
DBC_QQQ_GLD_EWJ,15Y,GLD,785,0.20767195767195767
DBC_QQQ_GLD_EWJ,15Y,CASH,681,0.18015873015873016
DBC_QQQ_GLD_EWJ,15Y,DBC,611,0.16164021164021164
DBC_QQQ_GLD_EWJ,15Y,EWJ,541,0.14312169312169312
DBC_QQQ_GLD_EWJ,10Y,QQQ,839,0.3329365079365079
DBC_QQQ_GLD_EWJ,10Y,GLD,515,0.20436507936507936
DBC_QQQ_GLD_EWJ,10Y,DBC,496,0.19682539682539682
DBC_QQQ_GLD_EWJ,10Y,CASH,366,0.14523809523809525
DBC_QQQ_GLD_EWJ,10Y,EWJ,304,0.12063492063492064
DBC_QQQ_GLD_EWJ,from_2020,QQQ,510,0.3185509056839475
DBC_QQQ_GLD_EWJ,from_2020,GLD,335,0.20924422236102436
DBC_QQQ_GLD_EWJ,from_2020,DBC,314,0.19612742036227357
DBC_QQQ_GLD_EWJ,from_2020,CASH,239,0.14928169893816365
DBC_QQQ_GLD_EWJ,from_2020,EWJ,203,0.1267957526545909
DBC_QQQ_GLD_EWJ,5Y,QQQ,379,0.3007936507936508
DBC_QQQ_GLD_EWJ,5Y,GLD,289,0.22936507936507936
DBC_QQQ_GLD_EWJ,5Y,DBC,235,0.1865079365079365
DBC_QQQ_GLD_EWJ,5Y,CASH,200,0.15873015873015872
DBC_QQQ_GLD_EWJ,5Y,EWJ,157,0.1246031746031746
DBC_QQQ_GLD_EWJ,3Y,QQQ,238,0.3148148148148148
DBC_QQQ_GLD_EWJ,3Y,GLD,224,0.2962962962962963
DBC_QQQ_GLD_EWJ,3Y,EWJ,109,0.14417989417989419
DBC_QQQ_GLD_EWJ,3Y,DBC,99,0.13095238095238096
DBC_QQQ_GLD_EWJ,3Y,CASH,86,0.11375661375661375
DBC_QQQ_GLD_EWJ,1Y,GLD,82,0.3253968253968254
DBC_QQQ_GLD_EWJ,1Y,QQQ,66,0.2619047619047619
DBC_QQQ_GLD_EWJ,1Y,EWJ,48,0.19047619047619047
DBC_QQQ_GLD_EWJ,1Y,DBC,41,0.1626984126984127
DBC_QQQ_GLD_EWJ,1Y,CASH,15,0.05952380952380952
DBC_QQQ_GLD_VEA,15Y,QQQ,1184,0.31322751322751324
DBC_QQQ_GLD_VEA,15Y,GLD,775,0.20502645502645503
DBC_QQQ_GLD_VEA,15Y,CASH,751,0.19867724867724867
DBC_QQQ_GLD_VEA,15Y,DBC,642,0.16984126984126985
DBC_QQQ_GLD_VEA,15Y,VEA,428,0.11322751322751323
DBC_QQQ_GLD_VEA,10Y,QQQ,848,0.33650793650793653
DBC_QQQ_GLD_VEA,10Y,DBC,520,0.20634920634920634
DBC_QQQ_GLD_VEA,10Y,GLD,502,0.1992063492063492
DBC_QQQ_GLD_VEA,10Y,CASH,385,0.1527777777777778
DBC_QQQ_GLD_VEA,10Y,VEA,265,0.10515873015873016
DBC_QQQ_GLD_VEA,from_2020,QQQ,519,0.32417239225484074
DBC_QQQ_GLD_VEA,from_2020,GLD,323,0.20174890693316677
DBC_QQQ_GLD_VEA,from_2020,DBC,321,0.2004996876951905
DBC_QQQ_GLD_VEA,from_2020,CASH,240,0.14990630855715179
DBC_QQQ_GLD_VEA,from_2020,VEA,198,0.12367270455965022
DBC_QQQ_GLD_VEA,5Y,QQQ,394,0.3126984126984127
DBC_QQQ_GLD_VEA,5Y,GLD,284,0.2253968253968254
DBC_QQQ_GLD_VEA,5Y,DBC,241,0.19126984126984126
DBC_QQQ_GLD_VEA,5Y,CASH,187,0.1484126984126984
DBC_QQQ_GLD_VEA,5Y,VEA,154,0.12222222222222222
DBC_QQQ_GLD_VEA,3Y,QQQ,256,0.3386243386243386
DBC_QQQ_GLD_VEA,3Y,GLD,228,0.30158730158730157
DBC_QQQ_GLD_VEA,3Y,DBC,99,0.13095238095238096
DBC_QQQ_GLD_VEA,3Y,VEA,94,0.12433862433862433
DBC_QQQ_GLD_VEA,3Y,CASH,79,0.10449735449735449
DBC_QQQ_GLD_VEA,1Y,GLD,79,0.3134920634920635
DBC_QQQ_GLD_VEA,1Y,QQQ,76,0.30158730158730157
DBC_QQQ_GLD_VEA,1Y,VEA,43,0.17063492063492064
DBC_QQQ_GLD_VEA,1Y,DBC,41,0.1626984126984127
DBC_QQQ_GLD_VEA,1Y,CASH,13,0.051587301587301584
DBC_QQQ_GLD,15Y,QQQ,1386,0.36666666666666664
DBC_QQQ_GLD,15Y,CASH,853,0.22566137566137567
DBC_QQQ_GLD,15Y,GLD,846,0.22380952380952382
DBC_QQQ_GLD,15Y,DBC,695,0.18386243386243387
DBC_QQQ_GLD,10Y,QQQ,941,0.3734126984126984
DBC_QQQ_GLD,10Y,GLD,560,0.2222222222222222
DBC_QQQ_GLD,10Y,DBC,557,0.22103174603174602
DBC_QQQ_GLD,10Y,CASH,462,0.18333333333333332
DBC_QQQ_GLD,from_2020,QQQ,577,0.3603997501561524
DBC_QQQ_GLD,from_2020,GLD,375,0.23422860712054966
DBC_QQQ_GLD,from_2020,DBC,347,0.21673953778888194
DBC_QQQ_GLD,from_2020,CASH,302,0.18863210493441598
DBC_QQQ_GLD,5Y,QQQ,442,0.35079365079365077
DBC_QQQ_GLD,5Y,GLD,329,0.2611111111111111
DBC_QQQ_GLD,5Y,DBC,250,0.1984126984126984
DBC_QQQ_GLD,5Y,CASH,239,0.18968253968253967
DBC_QQQ_GLD,3Y,QQQ,288,0.38095238095238093
DBC_QQQ_GLD,3Y,GLD,250,0.3306878306878307
DBC_QQQ_GLD,3Y,CASH,117,0.15476190476190477
DBC_QQQ_GLD,3Y,DBC,101,0.1335978835978836
DBC_QQQ_GLD,1Y,GLD,90,0.35714285714285715
DBC_QQQ_GLD,1Y,QQQ,81,0.32142857142857145
DBC_QQQ_GLD,1Y,DBC,43,0.17063492063492064
DBC_QQQ_GLD,1Y,CASH,38,0.15079365079365079
